licenca;descr;qtde;genero;mes_ano
PPR;PILOTO PRIVADO - AVIAO;8;F;May-19
PPR;PILOTO PRIVADO - AVIAO;9;F;May-20
PPR;PILOTO PRIVADO - AVIAO;13;F;May-21
PPR;PILOTO PRIVADO - AVIAO;7;F;May-22
PPR;PILOTO PRIVADO - AVIAO;11;F;May-23
PPR;PILOTO PRIVADO - AVIAO;1;F;May-68
PPR;PILOTO PRIVADO - AVIAO;1;F;May-73
PPR;PILOTO PRIVADO - AVIAO;1;F;May-74
PPR;PILOTO PRIVADO - AVIAO;2;F;May-75
PPR;PILOTO PRIVADO - AVIAO;1;F;May-76
PPR;PILOTO PRIVADO - AVIAO;1;F;May-77
PPR;PILOTO PRIVADO - AVIAO;1;F;May-79
PPR;PILOTO PRIVADO - AVIAO;2;F;May-80
PPR;PILOTO PRIVADO - AVIAO;2;F;May-81
PPR;PILOTO PRIVADO - AVIAO;1;F;May-85
PPR;PILOTO PRIVADO - AVIAO;2;F;May-86
PPR;PILOTO PRIVADO - AVIAO;1;F;May-88
PPR;PILOTO PRIVADO - AVIAO;1;F;May-91
PPR;PILOTO PRIVADO - AVIAO;4;F;May-94
PPR;PILOTO PRIVADO - AVIAO;3;F;May-95
PPR;PILOTO PRIVADO - AVIAO;6;F;May-96
PPR;PILOTO PRIVADO - AVIAO;1;F;May-97
PPR;PILOTO PRIVADO - AVIAO;7;F;May-98
PPR;PILOTO PRIVADO - AVIAO;1;F;May-99
PPR;PILOTO PRIVADO - AVIAO;1;F;06-00
PPR;PILOTO PRIVADO - AVIAO;1;F;06-Jan
PPR;PILOTO PRIVADO - AVIAO;1;F;06-Mar
PPR;PILOTO PRIVADO - AVIAO;2;F;06-Apr
PPR;PILOTO PRIVADO - AVIAO;1;F;06-May
PPR;PILOTO PRIVADO - AVIAO;6;F;06-Jun
PPR;PILOTO PRIVADO - AVIAO;2;F;06-Jul
PPR;PILOTO PRIVADO - AVIAO;6;F;06-Aug
PPR;PILOTO PRIVADO - AVIAO;4;F;06-Sep
PPR;PILOTO PRIVADO - AVIAO;6;F;Jun-10
PPR;PILOTO PRIVADO - AVIAO;6;F;Jun-11
PPR;PILOTO PRIVADO - AVIAO;4;F;Jun-12
PPR;PILOTO PRIVADO - AVIAO;9;F;Jun-13
PPR;PILOTO PRIVADO - AVIAO;12;F;Jun-14
PPR;PILOTO PRIVADO - AVIAO;14;F;Jun-15
PPR;PILOTO PRIVADO - AVIAO;6;F;Jun-16
PPR;PILOTO PRIVADO - AVIAO;4;F;Jun-17
PPR;PILOTO PRIVADO - AVIAO;7;F;Jun-18
PPR;PILOTO PRIVADO - AVIAO;5;F;Jun-19
PPR;PILOTO PRIVADO - AVIAO;11;F;Jun-20
PPR;PILOTO PRIVADO - AVIAO;14;F;Jun-21
PPR;PILOTO PRIVADO - AVIAO;11;F;Jun-22
PPR;PILOTO PRIVADO - AVIAO;8;F;Jun-23
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-69
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-74
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-75
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-77
PPR;PILOTO PRIVADO - AVIAO;2;F;Jun-78
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-79
PPR;PILOTO PRIVADO - AVIAO;3;F;Jun-80
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-82
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-84
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-85
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-87
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-88
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-89
PPR;PILOTO PRIVADO - AVIAO;2;F;Jun-90
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-91
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-93
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-94
PPR;PILOTO PRIVADO - AVIAO;1;F;Jun-95
PPR;PILOTO PRIVADO - AVIAO;2;F;Jun-98
PPR;PILOTO PRIVADO - AVIAO;2;F;Jun-99
PPR;PILOTO PRIVADO - AVIAO;3;F;07-00
PPR;PILOTO PRIVADO - AVIAO;2;F;07-Jan
PPR;PILOTO PRIVADO - AVIAO;3;F;07-Mar
PPR;PILOTO PRIVADO - AVIAO;4;F;07-May
PPR;PILOTO PRIVADO - AVIAO;2;F;07-Jun
PPR;PILOTO PRIVADO - AVIAO;1;F;07-Jul
PPR;PILOTO PRIVADO - AVIAO;1;F;07-Aug
PPR;PILOTO PRIVADO - AVIAO;3;F;07-Sep
PPR;PILOTO PRIVADO - AVIAO;5;F;Jul-10
PPR;PILOTO PRIVADO - AVIAO;6;F;Jul-11
PPR;PILOTO PRIVADO - AVIAO;13;F;Jul-12
PPR;PILOTO PRIVADO - AVIAO;13;F;Jul-13
PPR;PILOTO PRIVADO - AVIAO;8;F;Jul-14
PPR;PILOTO PRIVADO - AVIAO;7;F;Jul-15
PPR;PILOTO PRIVADO - AVIAO;10;F;Jul-16
PPR;PILOTO PRIVADO - AVIAO;7;F;Jul-17
PPR;PILOTO PRIVADO - AVIAO;13;F;Jul-18
PPR;PILOTO PRIVADO - AVIAO;20;F;Jul-19
PPR;PILOTO PRIVADO - AVIAO;8;F;Jul-20
PPR;PILOTO PRIVADO - AVIAO;11;F;Jul-21
PPR;PILOTO PRIVADO - AVIAO;10;F;Jul-22
PPR;PILOTO PRIVADO - AVIAO;12;F;Jul-23
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-75
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-76
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-77
PPR;PILOTO PRIVADO - AVIAO;2;F;Jul-78
PPR;PILOTO PRIVADO - AVIAO;2;F;Jul-80
PPR;PILOTO PRIVADO - AVIAO;2;F;Jul-81
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-82
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-83
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-86
PPR;PILOTO PRIVADO - AVIAO;2;F;Jul-88
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-89
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-90
PPR;PILOTO PRIVADO - AVIAO;2;F;Jul-91
PPR;PILOTO PRIVADO - AVIAO;2;F;Jul-92
PPR;PILOTO PRIVADO - AVIAO;1;F;Jul-93
PPR;PILOTO PRIVADO - AVIAO;2;F;Jul-95
PPR;PILOTO PRIVADO - AVIAO;3;F;Jul-97
PPR;PILOTO PRIVADO - AVIAO;5;F;Jul-98
PPR;PILOTO PRIVADO - AVIAO;4;F;Jul-99
PPR;PILOTO PRIVADO - AVIAO;3;F;08-00
PPR;PILOTO PRIVADO - AVIAO;2;F;08-Jan
PPR;PILOTO PRIVADO - AVIAO;3;F;08-Feb
PPR;PILOTO PRIVADO - AVIAO;4;F;08-Mar
PPR;PILOTO PRIVADO - AVIAO;2;F;08-Apr
PPR;PILOTO PRIVADO - AVIAO;3;F;08-May
PPR;PILOTO PRIVADO - AVIAO;1;F;08-Jul
PPR;PILOTO PRIVADO - AVIAO;7;F;08-Aug
PPR;PILOTO PRIVADO - AVIAO;6;F;08-Sep
PPR;PILOTO PRIVADO - AVIAO;2;F;Aug-10
PPR;PILOTO PRIVADO - AVIAO;5;F;Aug-11
PPR;PILOTO PRIVADO - AVIAO;9;F;Aug-12
PPR;PILOTO PRIVADO - AVIAO;11;F;Aug-13
PPR;PILOTO PRIVADO - AVIAO;6;F;Aug-14
PPR;PILOTO PRIVADO - AVIAO;20;F;Aug-15
PPR;PILOTO PRIVADO - AVIAO;5;F;Aug-16
PPR;PILOTO PRIVADO - AVIAO;6;F;Aug-17
PPR;PILOTO PRIVADO - AVIAO;4;F;Aug-18
PPR;PILOTO PRIVADO - AVIAO;7;F;Aug-19
PPR;PILOTO PRIVADO - AVIAO;10;F;Aug-20
PPR;PILOTO PRIVADO - AVIAO;16;F;Aug-21
PPR;PILOTO PRIVADO - AVIAO;14;F;Aug-22
PPR;PILOTO PRIVADO - AVIAO;9;F;Aug-23
PPR;PILOTO PRIVADO - AVIAO;1;F;Aug-71
PPR;PILOTO PRIVADO - AVIAO;2;F;Aug-74
PPR;PILOTO PRIVADO - AVIAO;1;F;Aug-75
PPR;PILOTO PRIVADO - AVIAO;1;F;Aug-76
PPR;PILOTO PRIVADO - AVIAO;3;F;Aug-81
PPR;PILOTO PRIVADO - AVIAO;2;F;Aug-84
PPR;PILOTO PRIVADO - AVIAO;2;F;Aug-85
PPR;PILOTO PRIVADO - AVIAO;2;F;Aug-86
PPR;PILOTO PRIVADO - AVIAO;3;F;Aug-87
PPR;PILOTO PRIVADO - AVIAO;2;F;Aug-89
PPR;PILOTO PRIVADO - AVIAO;1;F;Aug-90
PPR;PILOTO PRIVADO - AVIAO;5;F;Aug-91
PPR;PILOTO PRIVADO - AVIAO;1;F;Aug-92
PPR;PILOTO PRIVADO - AVIAO;2;F;Aug-93
PPR;PILOTO PRIVADO - AVIAO;2;F;Aug-94
PPR;PILOTO PRIVADO - AVIAO;3;F;Aug-96
PPR;PILOTO PRIVADO - AVIAO;1;F;Aug-97
PPR;PILOTO PRIVADO - AVIAO;8;F;Aug-98
PPR;PILOTO PRIVADO - AVIAO;4;F;Aug-99
PPR;PILOTO PRIVADO - AVIAO;1;F;09-00
PPR;PILOTO PRIVADO - AVIAO;1;F;09-Jan
PPR;PILOTO PRIVADO - AVIAO;3;F;09-Feb
PPR;PILOTO PRIVADO - AVIAO;4;F;09-Mar
PPR;PILOTO PRIVADO - AVIAO;1;F;09-Apr
PPR;PILOTO PRIVADO - AVIAO;3;F;09-May
PPR;PILOTO PRIVADO - AVIAO;1;F;09-Jun
PPR;PILOTO PRIVADO - AVIAO;4;F;09-Jul
PPR;PILOTO PRIVADO - AVIAO;2;F;09-Aug
PPR;PILOTO PRIVADO - AVIAO;4;F;09-Sep
PPR;PILOTO PRIVADO - AVIAO;4;F;Sep-10
PPR;PILOTO PRIVADO - AVIAO;8;F;Sep-11
PPR;PILOTO PRIVADO - AVIAO;12;F;Sep-12
PPR;PILOTO PRIVADO - AVIAO;15;F;Sep-13
PPR;PILOTO PRIVADO - AVIAO;8;F;Sep-14
PPR;PILOTO PRIVADO - AVIAO;7;F;Sep-15
PPR;PILOTO PRIVADO - AVIAO;4;F;Sep-16
PPR;PILOTO PRIVADO - AVIAO;13;F;Sep-17
PPR;PILOTO PRIVADO - AVIAO;9;F;Sep-18
PPR;PILOTO PRIVADO - AVIAO;16;F;Sep-19
PPR;PILOTO PRIVADO - AVIAO;11;F;Sep-20
PPR;PILOTO PRIVADO - AVIAO;9;F;Sep-21
PPR;PILOTO PRIVADO - AVIAO;14;F;Sep-22
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-67
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-76
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-77
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-78
PPR;PILOTO PRIVADO - AVIAO;7;F;Sep-80
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-81
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-85
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-86
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-87
PPR;PILOTO PRIVADO - AVIAO;5;F;Sep-88
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-89
PPR;PILOTO PRIVADO - AVIAO;4;F;Sep-91
PPR;PILOTO PRIVADO - AVIAO;3;F;Sep-92
PPR;PILOTO PRIVADO - AVIAO;3;F;Sep-93
PPR;PILOTO PRIVADO - AVIAO;3;F;Sep-94
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-95
PPR;PILOTO PRIVADO - AVIAO;1;F;Sep-96
PPR;PILOTO PRIVADO - AVIAO;2;F;Sep-97
PPR;PILOTO PRIVADO - AVIAO;4;F;Sep-98
PPR;PILOTO PRIVADO - AVIAO;6;F;Sep-99
PPR;PILOTO PRIVADO - AVIAO;1;F;10-Jan
PPR;PILOTO PRIVADO - AVIAO;2;F;10-Feb
PPR;PILOTO PRIVADO - AVIAO;2;F;10-Mar
PPR;PILOTO PRIVADO - AVIAO;2;F;10-Apr
PPR;PILOTO PRIVADO - AVIAO;1;F;10-May
PPR;PILOTO PRIVADO - AVIAO;2;F;10-Jul
PPR;PILOTO PRIVADO - AVIAO;5;F;10-Aug
PPR;PILOTO PRIVADO - AVIAO;1;F;10-Sep
PPR;PILOTO PRIVADO - AVIAO;2;F;Oct-10
PPR;PILOTO PRIVADO - AVIAO;7;F;Oct-11
PPR;PILOTO PRIVADO - AVIAO;9;F;Oct-12
PPR;PILOTO PRIVADO - AVIAO;14;F;Oct-13
PPR;PILOTO PRIVADO - AVIAO;8;F;Oct-14
PPR;PILOTO PRIVADO - AVIAO;9;F;Oct-15
PPR;PILOTO PRIVADO - AVIAO;4;F;Oct-16
PPR;PILOTO PRIVADO - AVIAO;5;F;Oct-17
PPR;PILOTO PRIVADO - AVIAO;13;F;Oct-18
PPR;PILOTO PRIVADO - AVIAO;3;F;Oct-19
PPR;PILOTO PRIVADO - AVIAO;4;F;Oct-20
PPR;PILOTO PRIVADO - AVIAO;11;F;Oct-21
PPR;PILOTO PRIVADO - AVIAO;10;F;Oct-22
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-51
PPR;PILOTO PRIVADO - AVIAO;2;F;Oct-70
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-71
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-78
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-79
PPR;PILOTO PRIVADO - AVIAO;4;F;Oct-80
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-81
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-87
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-88
PPR;PILOTO PRIVADO - AVIAO;2;F;Oct-90
PPR;PILOTO PRIVADO - AVIAO;4;F;Oct-91
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-93
PPR;PILOTO PRIVADO - AVIAO;2;F;Oct-94
PPR;PILOTO PRIVADO - AVIAO;2;F;Oct-95
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-96
PPR;PILOTO PRIVADO - AVIAO;2;F;Oct-97
PPR;PILOTO PRIVADO - AVIAO;2;F;Oct-98
PPR;PILOTO PRIVADO - AVIAO;1;F;Oct-99
PPR;PILOTO PRIVADO - AVIAO;2;F;11-00
PPR;PILOTO PRIVADO - AVIAO;3;F;11-Jan
PPR;PILOTO PRIVADO - AVIAO;1;F;11-Mar
PPR;PILOTO PRIVADO - AVIAO;2;F;11-Apr
PPR;PILOTO PRIVADO - AVIAO;2;F;11-May
PPR;PILOTO PRIVADO - AVIAO;2;F;11-Jun
PPR;PILOTO PRIVADO - AVIAO;1;F;11-Jul
PPR;PILOTO PRIVADO - AVIAO;4;F;11-Aug
PPR;PILOTO PRIVADO - AVIAO;2;F;11-Sep
PPR;PILOTO PRIVADO - AVIAO;6;F;Nov-10
PPR;PILOTO PRIVADO - AVIAO;11;F;Nov-11
PPR;PILOTO PRIVADO - AVIAO;10;F;Nov-12
PPR;PILOTO PRIVADO - AVIAO;11;F;Nov-13
PPR;PILOTO PRIVADO - AVIAO;4;F;Nov-14
PPR;PILOTO PRIVADO - AVIAO;7;F;Nov-15
PPR;PILOTO PRIVADO - AVIAO;9;F;Nov-16
